,Type,Mutability,Description,Syntax examples
0,bool,immutable,Boolean value,TrueFalse
1,bytearray,mutable,Sequence of bytes,"bytearray(b'Some ASCII')bytearray(b""Some ASCII"")bytearray([119, 105, 107, 105])"
2,bytes,immutable,Sequence of bytes,"b'Some ASCII'b""Some ASCII""bytes([119, 105, 107, 105])"
3,complex,immutable,Complex number with real and imaginary parts,3+2.7j3 + 2.7j
4,dict,mutable,"Associative array (or dictionary) of key and value pairs; can contain mixed types (keys and values), keys must be a hashable type","{'key1': 1.0, 3: False}{}"
5,types.EllipsisType,immutable,An ellipsis placeholder to be used as an index in NumPy arrays,...Ellipsis
6,float,immutable,Double-precision floating-point number. The precision is machine-dependent but in practice is generally implemented as a 64-bit IEEE 754 number with 53 bits of precision.[120],1.33333
7,frozenset,immutable,"Unordered set, contains no duplicates; can contain mixed types, if hashable","frozenset([4.0, 'string', True])"
8,int,immutable,Integer of unlimited magnitude[121],42
9,list,mutable,"List, can contain mixed types","[4.0, 'string', True][]"
10,types.NoneType,immutable,"An object representing the absence of a value, often called null in other languages",None
11,types.NotImplementedType,immutable,A placeholder that can be returned from overloaded operators to indicate unsupported operand types.,NotImplemented
12,range,immutable,An immutable sequence of numbers commonly used for looping a specific number of times in for loops[122],"range(−1, 10)range(10, −5, −2)"
13,set,mutable,"Unordered set, contains no duplicates; can contain mixed types, if hashable","{4.0, 'string', True}set()"
14,str,immutable,A character string: sequence of Unicode codepoints,"'Wikipedia'""Wikipedia""""""""Spanning
multiple
lines""""""
Spanning
multiple
lines"
15,tuple,immutable,Can contain mixed types,"(4.0, 'string', True)('single element',)()"
